Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
11250,2001,05/24/2002,Danbury,27 CROWS NEST LN 5E,73900.0,164900.0,0.448150394,NaN,NaN,NaN,NaN,NaN,NaN
11253,2001,07/29/2002,Stratford,235 HENRY AVE 12H,39200.0,68000.0,0.576470588,NaN,NaN,NaN,NaN,NaN,NaN
11255,2001,08/01/2002,Bristol,137 LONG LN,96330.0,222500.0,0.43294382,NaN,NaN,NaN,NaN,NaN,POINT (-72.94313 41.70731)
11262,2001,08/15/2002,West Hartford,24 FAIRLEE RD,128980.0,288000.0,0.447847222,NaN,NaN,NaN,NaN,NaN,NaN
11266,2001,08/30/2002,Hartford,79-81 COWLES ST,65450.0,163700.0,0.399816738,NaN,NaN,NaN,NaN,NaN,NaN
11268,2001,08/05/2002,Bristol,131 COLLINS RD,67630.0,140000.0,0.483071429,NaN,NaN,NaN,NaN,NaN,NaN
11286,2001,09/05/2002,Hartford,50-52 CRESCENT ST,53760.0,129000.0,0.416744186,NaN,NaN,NaN,NaN,NaN,POINT (-72.68892 41.74563)
11291,2001,05/31/2002,Danbury,106 LOGGING TRL RD,182500.0,375000.0,0.486666667,NaN,NaN,NaN,NaN,NaN,NaN
11297,2001,06/03/2002,Danbury,18 TRIANGLE ST G 5,63800.0,143000.0,0.446153846,NaN,NaN,NaN,NaN,NaN,POINT (-73.43895 41.38941)
11306,2001,08/23/2002,West Hartford,19 SCARSDALE RD,138710.0,325000.0,0.4268,NaN,NaN,NaN,NaN,NaN,NaN
11320,2001,09/10/2002,Hamden,261 BLAKE RD,146090.0,257000.0,0.56844358,NaN,NaN,NaN,NaN,NaN,NaN
